id_departamento,id_provincia,departamento,provincia
96,2,Río Segundo,Córdoba
97,2,San Justo,Córdoba
98,2,Calamuchita,Córdoba
99,2,Río Cuarto,Córdoba
100,2,San Javier,Córdoba
101,2,Tercero Arriba,Córdoba
102,2,Unión,Córdoba
103,2,Totoral,Córdoba
104,2,General San Martín,Córdoba
105,2,Tulumba,Córdoba
106,2,Sobremonte,Córdoba
107,2,Río Primero,Córdoba
108,2,Cruz del Eje,Córdoba
109,2,General Roca,Córdoba
110,2,Río Seco,Córdoba
111,2,Minas,Córdoba
112,3,Rosario,Santa Fe
113,3,San Lorenzo,Santa Fe
114,3,La Capital,Santa Fe
115,3,Garay,Santa Fe
116,3,General López,Santa Fe
117,3,General Obligado,Santa Fe
118,3,Vera,Santa Fe
119,3,Caseros,Santa Fe
120,3,San Jerónimo,Santa Fe
121,3,Las Colonias,Santa Fe
122,3,Castellanos,Santa Fe
123,3,San Cristóbal,Santa Fe
124,3,San Martín,Santa Fe
125,3,9 de julio,Santa Fe
126,3,Constitución,Santa Fe
127,3,Iriondo,Santa Fe
128,3,San Javier,Santa Fe
129,3,Belgrano,Santa Fe
130,3,San Justo,Santa Fe
131,4,Capital,Misiones
132,4,Oberá,Misiones
133,4,Guaraní,Misiones
134,4,Eldorado,Misiones
135,4,San Ignacio,Misiones
136,4,Iguazú,Misiones
137,4,Libertador General San Martín,Misiones
138,4,Leandro N. Alem,Misiones
139,4,Apóstoles,Misiones
140,4,San Pedro,Misiones
141,4,Cainguás,Misiones
142,4,Candelaria,Misiones
143,4,Montecarlo,Misiones
144,4,General Manuel Belgrano,Misiones
145,4,San Javier,Misiones
146,4,25 de mayo,Misiones
147,4,Concepción,Misiones
148,5,Capital,Salta
149,5,Cerrillos,Salta
150,5,General José de San Martín,Salta
151,5,Orán,Salta
152,5,La Caldera,Salta
153,5,Rosario de la Frontera,Salta
154,5,Anta,Salta
155,5,Metán,Salta
156,5,General Güemes,Salta
157,5,Rosario de Lerma,Salta
158,5,Cachi,Salta
159,5,La Candelaria,Salta
160,5,La Viña,Salta
161,5,Los Andes,Salta
162,5,Rivadavia,Salta
163,5,San Carlos,Salta
164,6,San Fernando,Chaco
165,6,1° de Mayo,Chaco
166,6,Chacabuco,Chaco
167,6,Comandante Fernández,Chaco
168,6,12 de octubre,Chaco
169,6,Quitilipi,Chaco
170,6,Libertador General San Martín,Chaco
171,6,Maipú,Chaco
172,6,General Güemes,Chaco
173,6,Bermejo,Chaco
174,6,9 de julio,Chaco
175,6,Mayor Luis J. Fontana,Chaco
176,6,25 de mayo,Chaco
177,6,2 de abril,Chaco
178,6,Almirante Brown,Chaco
179,6,Fray Justo Santa María de Oro,Chaco
180,6,General Belgrano,Chaco
181,6,General Donovan,Chaco
182,6,Independencia,Chaco
183,6,Libertad,Chaco
184,6,O'Higgins,Chaco
185,6,Presidencia de la Plaza,Chaco
186,6,San Lorenzo,Chaco
187,6,Sargento Cabral,Chaco
188,7,San Cosme,Corrientes
189,7,Capital,Corrientes
190,7,Saladas,Corrientes
191,7,Goya,Corrientes
192,7,Lavalle,Corrientes
193,7,Bella Vista,Corrientes
194,7,Esquina,Corrientes
195,7,Monte Caseros,Corrientes
196,7,San Luis del Palmar,Corrientes
