id_localidad,id_departamento,localidad
706,309,Pirané
707,309,El Colorado
708,309,Colonia Campo Villafañe
709,309,Palo Santo
710,310,Ingeniero Juárez
711,311,Las Lomitas
712,311,Comandante Fontana
713,311,Estanislao Del Campo
714,311,San Martín II
715,311,Villa General Güemes
716,224,Viedma
717,224,El Cóndor
718,225,San Antonio Oeste
719,225,Las Grutas
720,225,Sierra Grande
721,368,Río Gallegos
722,368,28 De noviembre
723,166,Charata
724,167,Presidencia Roque Sáenz Peña
725,168,General Pinedo
726,168,Gancedo
727,169,Quitilipi
728,170,General José de San Martín
729,170,Pampa Del Indio
730,171,Tres Isletas
731,172,Juan José Castelli
732,172,El Sauzalito
733,172,Miraflores
734,172,Nueva Pompeya
735,172,Villa Río Bermejito
736,173,La Leonesa
737,173,Las Palmas
738,174,Las Breñas
739,175,Villa Ángela
740,175,Coronel Du Graty
741,176,Machagai
742,135,Hipólito Yrigoyen
743,135,Jardín América
744,135,San Ignacio
745,135,Gobernador Roca
746,135,Santo Pipó
747,135,Roca Chica
748,136,Puerto Esperanza
749,136,Puerto Iguazú
750,136,Colonia Wanda
751,136,Puerto Libertad
752,137,Puerto Rico
753,137,El Alcázar
754,137,Garuhapé
755,137,Puerto Leoni
756,138,Leandro N Alem
757,138,Cerro Azul
758,138,Dos Arroyos
759,138,Olegario V. Andrade
760,139,Apóstoles
761,139,Estación Apóstoles
762,139,San José
763,139,Tres Capones
764,140,San Pedro
765,140,Pozo Azul
766,141,Aristóbulo Del Valle
767,141,Campo Grande
768,141,Dos de Mayo Núcleo II
769,141,Dos De Mayo Núcleo III (Bº Bernardino Rivadavia)
770,141,Pueblo Illia
771,142,Candelaria
772,142,Loreto
773,142,Mártires
774,142,Puerto Santa Ana
775,142,Santa Ana
776,143,Montecarlo
777,143,Puerto Piray
778,212,Junín De Los Andes
779,213,San Martín De Los Andes
780,214,Rincón De Los Sauces
781,215,Zapala
782,215,Mariano Moreno
783,116,Venado Tuerto
784,116,Firmat
785,116,Chovet
786,117,Avellaneda
787,117,Las Toscas
788,117,Villa Ocampo
789,117,Reconquista
790,117,Tacuarendí
791,117,Florencia
792,117,Ingeniero Chanourdie
793,117,Malabrigo
794,117,Villa Ana
795,117,Villa Guillermina
796,117,Hardy
797,117,Berna
798,117,Las Garzas
799,117,Guadalupe Norte
800,118,Calchaquí
801,118,Margarita
802,118,Vera
803,118,Garabato
804,119,Casilda
805,119,Arequito
806,120,Coronda
807,120,Barrancas
808,120,Desvío Arijón
809,120,Arocena
810,120,Gaboto
811,120,Maciel
812,121,Esperanza
813,121,Pilar
814,121,Progreso
815,121,Santa Clara De Buena Vista
816,122,Frontera
817,122,Rafaela
818,122,Santa Clara De Saguier
819,122,Nueva Lehmann
820,123,San Cristóbal
821,123,San Guillermo
822,123,Villa Trinidad
823,123,Colonia Rosa
824,123,La Lucila
825,124,San Jorge
826,124,El Trébol
827,125,Tostado
828,125,Villa Minetti
829,125,Gato Colorado
830,126,Villa Constitución
831,263,Aguilares
832,263,Río Chico
833,263,Santa Ana
834,263,Monte Bello
835,264,Famaillá
836,265,Juan Bautista Alberdi
837,265,Villa Belgrano
838,266,Bella Vista
839,266,Pala Pala
840,266,Río Colorado
841,267,Monteros
842,267,Acheral
843,267,Santa Lucía
844,267,Villa Quinteros
845,267,Teniente Berdina
846,267,Comuna Leon Rouges y Santa Rosa
847,267,Sargento Moya
848,268,Tafí Viejo
849,268,Los Nogales
850,268,Las Talitas
851,268,"Diagonal Norte, Luz Y Fuerza, Los Pocitos, Villa Nueva Italia"
852,268,San José
853,268,Raco
854,269,Yerba Buena - Marcos Paz
855,269,Barrio San José III
856,269,Villa Carmela
857,270,Alto Verde
858,270,Arcadia
859,270,Concepción
860,270,San Roque
861,270,La Trinidad
862,270,Iltico
863,247,La Paz
864,247,Bovril
865,247,Santa Elena
866,247,Colonia Avigdor
867,144,Comandante Andresito
868,144,Bernardo De Irigoyen
869,144,San Antonio
870,144,Dos Hermanas
871,127,Correa
872,127,Cañada De Gómez
873,127,Totoras
874,127,Oliveros
875,128,San Javier
876,128,Romang
877,289,Ullum
878,289,Villa Ibáñez
879,290,Médano De Oro
880,107,Montecristo
881,107,Río Primero
882,201,Santa Rosa
883,201,Concepción
884,201,Tabay
885,157,Rosario De Lerma
886,157,La Silleta
887,157,Campo Quijano
888,82,Las Armas
889,371,25 De mayo
890,372,Toay
891,83,Ostende
892,234,Palermo
893,340,Las Catitas
894,340,Barrio 12 De Octubre
895,340,La Dormida
896,340,Santa Rosa
897,84,Castelli
898,85,Miramar
899,235,Caballito
900,365,Sarmiento
901,302,Tolhuin
902,348,Nueva Esperanza
903,291,Villa Santa Rosa
904,291,Tupelí
905,291,Villa Borjas
906,291,Villa El Tango
907,322,Abra Pampa
908,366,Lago Puelo
909,366,El Maitén
910,366,El Hoyo
911,86,Chacabuco
912,87,General Villegas
913,216,Añelo
914,216,San Patricio Del Chañar
915,217,Aluminé
916,369,Comandante Luis Piedrabuena
917,370,Caleta Olivia
918,370,Las Heras
919,370,Pico Truncado
920,88,Coronel Dorrego
921,226,Ingeniero Jacobacci
922,257,Chumbicha
923,257,Huillapima
924,257,Colonia Nueva Coneta
925,258,El Hueco
926,258,La Falda De San Antonio
